Grade,Gauge,Month,National,Weight Purchased,Weight Sold,Weight Consumed
DC,.156 ST,2023-04-01,0,0.0,0.0,1967.2307692307693
DC,.156 ST,2023-04-01,1,0.0,40748.2,59566.92307692308
DC,.156 ST,2023-05-01,0,0.0,0.0,4701.818181818182
DC,.156 ST,2023-05-01,1,0.0,47000.54,106038.87878787878
DC,.156 ST,2023-06-01,0,26866.492357642357,34103.8,11833.615384615385
DC,.156 ST,2023-06-01,1,104081.42993672994,35218.1,25581.733333333334
DC,.156 ST,2023-07-01,0,4687.558974358974,3072.6,4014.076923076923
DC,.156 ST,2023-07-01,1,30015.102564102563,62142.4,9813.23076923077
DC,.156 ST,2023-08-01,0,14435.865734265735,4116.0,4737.4
DC,.156 ST,2023-08-01,1,97070.62654012654,48068.28,13895.733333333334
DC,.156 ST,2023-09-01,0,0.0,0.0,2048.5
DC,.156 ST,2023-09-01,1,36004.142857142855,33205.6,10242.416666666668
DC,.156 ST,2023-10-01,0,1701.1538461538462,0.0,6140.0
DC,.156 ST,2023-10-01,1,24564.846153846156,31957.120000000003,16373.083333333334
DC,.156 ST,2023-11-01,0,0.0,14839.0,11837.916666666666
DC,.156 ST,2023-11-01,1,0.0,25004.04999999999,15220.25
DC,.156 ST,2023-12-01,0,6813.866666666667,28305.6,1635.8666666666666
DC,.156 ST,2023-12-01,1,34736.28076923077,32573.5,30942.166666666664
DC,.156 ST,2024-01-01,0,58378.83333333333,0.0,8638.385714285714
DC,.156 ST,2024-01-01,1,16564.0,26704.4,24239.938095238096
DC,.156 ST,2024-02-01,0,22541.199999999997,0.0,9271.442307692309
DC,.156 ST,2024-02-01,1,10246.0,53629.4,65484.91208791209
DC,.156 ST,2024-03-01,0,0.0,1707.0,2286.818181818182
DC,.156 ST,2024-03-01,1,0.0,17513.5,27441.36363636364
DC,.156 ST,2024-04-01,1,49494.0,42714.78,20259.666666666668
DC,.156 ST,2024-05-01,0,0.0,17383.5,20907.804195804198
DC,.156 ST,2024-05-01,1,0.0,31820.0,54675.11188811189
DC,.156 ST,2024-06-01,0,0.0,14897.42,3249.6
DC,.156 ST,2024-06-01,1,0.0,40129.1,8124.0
DC,.156 ST,2024-07-01,0,0.0,4871.02,0.0
DC,.156 ST,2024-07-01,1,0.0,53578.0,25743.285714285714
DC,.156 ST,2024-08-01,0,0.0,5808.1,3402.5333333333333
DC,.156 ST,2024-08-01,1,0.0,15136.9,15311.133333333333
DC,.156 ST,2024-09-01,0,0.0,4120.0,0.0
DC,.156 ST,2024-09-01,1,0.0,64108.25,10260.857142857143
DC,.156 ST,2024-10-01,0,0.0,6656.25,1701.1538461538462
DC,.156 ST,2024-10-01,1,0.0,21174.0,24564.846153846156
DC,.156 ST,2024-11-01,0,0.0,0.0,3411.3333333333335
DC,.156 ST,2024-11-01,1,0.0,37467.2,5117.0
DC,.156 ST,2024-12-01,0,0.0,15064.0,0.0
DC,.156 ST,2024-12-01,1,0.0,24044.800000000003,0.0
DC,.156 ST,2025-01-01,1,0.0,242093.4999999999,8487.916666666668
DC,.156 SW,2022-01-01,0,0.0,37365.6,63738.20088522589
DC,.156 SW,2022-01-01,1,0.0,26760.5,111249.37973137973
DC,.156 SW,2022-02-01,0,0.0,40004.2499999999,49261.42857142857
DC,.156 SW,2022-02-01,1,0.0,60005.28,125069.53333333333
